estacion,cluster,ipd_mean,ipd_max
Humedal Córdoba,0,0.11374818622222695,0.369061490602441
Héroes,3,0.1539437495133271,0.6677376500291893
KR 47,0,0.0678781982152601,0.24625483557302852
KR 53,3,0.28015417875887877,1.0305417092706204
KR 90,0,0.07362485568415718,0.284370639616692
La Campiña,0,0.029027102063271647,0.14977893528895264
La Castellana,0,0.12967189286617412,0.7289636107263012
La Despensa,0,0.047911759542487824,0.2531825281811973
Las Aguas - C. Col Americano,3,0.2602727230245181,1.0039164244968248
Las Nieves,3,0.1836450787170862,0.807075903157607
Mandalay,0,0.044329206742489934,0.1927332475923537
Marsella,0,0.1073613669562649,0.3632188933078993
Mazurén,0,0.06691392067412293,0.24153239665838433
Minuto de Dios,0,0.09573547175754234,0.21115355565346494
Modelia,0,0.05785642014926693,0.2207164709011927
Molinos,0,0.11149254003554944,0.5826194893955523
Movistar Arena,3,0.16581406463280865,0.7208485962079015
Museo del Oro,3,0.32657502705583696,1.3305166289958024
NQS - Calle 30 S.,0,0.0935929359083592,0.27870049604949526
NQS - Calle 38A S.,3,0.19919647246382924,0.4402167408418738
Nariño,0,0.08679021564266536,0.24324554211962449
Niza - Calle 127,0,0.1376042810192403,0.5321925878212741
Normandía,0,0.12492812222004335,0.38513497789216006
Olaya,0,0.10098642362714665,0.2682835047735191
Paloquemao,3,0.19508387651278972,0.9219874818255966
Paseo Villa del Río - Madelena,0,0.10106722830480656,0.5347157648002405
Patio Bonito,0,0.026502143847296808,0.12846329288120462
Pepe Sierra,0,0.1440595479118436,0.699661809419492
Perdomo,0,0.07311716420518177,0.40581473237654525
Policarpa,3,0.2801531342366459,0.6526329243353783
Polo - FINCOMERCIO,0,0.07432348155768417,0.4078804050210263
Portal 20 de Julio,1,0.2580351218127899,1.2274923312883437
Portal 80,1,0.2698469088210412,1.0802235463380205
Portal Américas,1,0.2880500996628664,1.3392254601226994
Portal Eldorado - C.C. NUESTRO BOGOTÁ,1,0.43712310663734844,1.4509396771594212
Portal Suba,1,0.23701336663716419,1.18368658565361
Portal Sur - JFK Coop. financ.,1,0.23233306568386367,1.197268594334319
Portal Tunal,1,0.2961122529976488,1.267114008179959
Portal Usme,1,0.16371686852792303,0.8249799152789952
Pradera - Plaza Central,2,0.513354278675331,1.608410020449898
Prado,0,0.07044952172864284,0.23818582258545853
Puente Aranda,0,0.12421599730733152,0.5693743065526693
Puentelargo,0,0.08774212840906155,0.4070311130587205
Quinta Paredes,0,0.08690636032447675,0.33782316498834736
Quirigua,0,0.05170842854866756,0.24774432101721314
Quiroga,0,0.029029497223846432,0.11375318339657671
Restrepo,0,0.13056420113476805,0.3208260461622084
Ricaurte,0,0.10271141491807893,0.5567918680894575
Rionegro,0,0.11116887099477435,0.5728781725200358
Salitre - El Greco,0,0.0755025710949352,0.2367918635901623
San Bernardo,0,0.09712898718696462,0.2376189430084582
San Diego,0,0.05629619069039394,0.2768690855797868
San Mateo,1,0.3198717429859957,1.5089471066158182
San Victorino,3,0.29201977221714936,1.1742749321524792
Santa Isabel,0,0.09788297953667142,0.32820393330873976
Santa Lucía,1,0.2304725902524316,1.0951647643538345
Sevillana,0,0.0649322114298857,0.26184055610287643
Socorro,0,0.018653164691761422,0.0777214337019802
Suba - AV. Boyacá,0,0.14242152538640365,0.505313047947585
Suba - Calle 100,3,0.17394760882837693,0.8572946937896889
Suba - Calle 95,3,0.2800024703788561,1.271927722392638
Suba - TV 91,0,0.08003395770298621,0.3631069771258706
TV 86,0,0.08358401321269525,0.511974988201982
Temporal - Calle 34,3,0.23320327058541626,1.135685156735483
Temporal - Calle 57,3,0.2574310265432827,0.8965400287908637
Temporal - Flores,3,0.26431531623475774,1.0748254959018282
Temporal - Marly,0,0.1439637151807077,0.4343313550370401
Tercer Milenio,0,0.05246809119892676,0.1829817325862761
Terminal,2,0.8103027961370396,2.6212101500876424
Terreros - Hospital C.V.,1,0.1890980446904449,1.103042064417874
Toberín - Foundever,0,0.07989931770787582,0.2965510483866581
Universidades - CityU,3,0.16121617421170842,0.5359416521767658
Venecia,0,0.10919633206620838,0.416487601510202
Virrey,0,0.11404488641836992,0.629832360407064
Zona Industrial,0,0.1366278020067986,0.6895030074449272
