nombre_validaciones,nombre_oficial,nombre_matriz
Corral Avenida Ciudad de Cali,AV. Cali,AV. Ciudad de Cali
Corral Molinos,Molinos,Molinos
Corral Portal Dorado,Portal El Dorado – C.C. Nuestro Bogotá,Portal Eldorado - C.C. NUESTRO BOGOTÁ
Country Sur,Country Sur,Country Sur
DESPENSA,La Despensa,La Despensa
EL CAMPIN,Campín - UAN,Campín - UAN
El Polo,Polo - FINCOMERCIO,Polo - FINCOMERCIO
El Tiempo,El Tiempo – Cámara de Comercio de Bogotá,El Tiempo - CCB
El Tiempo - Camara de Comercio de Bogota,El Tiempo – Cámara de Comercio de Bogotá,El Tiempo - CCB
Escuela Militar,Escuela Militar,Escuela Militar
Flores – Areandina,Flores – Areandina,Temporal - Flores
GRATAMIRA,Gratamira,Gratamira
General Santander,General Santander,Gral. Santander
Gobernación,Gobernación,Gobernación
Guatoque -Veraguas,Guatoque - Veraguas,Guatoque-Veraguas
HUMEDAL CORDOBA,Humedal Córdoba,Humedal Córdoba
Heroes - Gel hada,Héroes,Héroes
Hortúa,Hortúa,Hortúa
Hospital,Hospital,Hospital
LA CAMPIÑA,La Campiña,La Campiña
LEON XIII,León XIII,Santa Lucía
La Granja,Granja - Kr 77,La Granja
La Sabana,De La Sabana,La Sabana
Las Aguas,Las Aguas - Centro Colombo Americano,Las Aguas - C. Col Americano
Las Aguas - Centro Colombo Americano,Las Aguas - Centro Colombo Americano,Las Aguas - C. Col Americano
Las Ferias,Ferias,Las Ferias
Las Flores,Flores – Areandina,Temporal - Flores
Las Nieves,Las Nieves,Las Nieves
MADELENA,CC Paseo Villa del Río - Madelena,Paseo Villa del Río - Madelena
MOVISTAR ARENA,Movistar Arena,Movistar Arena
Mandalay - Cr.73,Mandalay,Mandalay
Marly,Marly,Temporal - Marly
Marsella,Marsella,Marsella
Mazurén,Mazurén,Mazurén
Minuto de Dios,Minuto de Dios,Minuto de Dios
Modelia,Modelia,Modelia
Molinos,Molinos,Molinos
Museo Nacional,Museo Nacional - FNG,Museo Nacional
Museo del Oro,Museo del Oro,Museo del Oro
NIZA - CALLE 127,Niza - Calle 127,Niza - Calle 127
NQS - Calle 30 Sur,NQS - Calle 30 S,NQS - Calle 30 S.
NQS - Calle 38A Sur,NQS - Calle 38A S,NQS - Calle 38A S.
NQS - RICAURTE,Ricaurte - NQS,Ricaurte
Nariño,Nariño,Nariño
Normandía,Normandía,Normandía
Olaya,Olaya,Olaya
PALOQUEMAO,Paloquemao,Paloquemao
PERDOMO,Perdomo,Perdomo
PUENTE LARGO,Puentelargo,Puentelargo
Parque el Tunal,Portal Tunal,Portal Tunal
Patio Bonito,Patio Bonito,Patio Bonito
Pepe Sierra,Pepe Sierra,Pepe Sierra
Policarpa,Policarpa,Policarpa
Portal 20 de Julio,Portal 20 de Julio,Portal 20 de Julio
Portal Américas,Portal Américas,Portal Américas
Portal Eldorado,Portal El Dorado – C.C. Nuestro Bogotá,Portal Eldorado - C.C. NUESTRO BOGOTÁ
Portal Norte,Portal Norte – Unicervantes,Portal Norte
Portal Suba,Portal Suba,Portal Suba
Portal Sur,Portal Sur - JFK Coop. Financiera,Portal Sur - JFK Coop. financ.
Portal Tunal,Portal Tunal,Portal Tunal
Portal Tunal Cable,Portal Tunal,Portal Tunal
Pradera,Pradera - Plaza Central,Pradera - Plaza Central
Prado,Prado,Prado
Puente Aranda,Puente Aranda,Puente Aranda
Quinta Paredes,Quinta Paredes,Quinta Paredes
Quirigua,Quirigua,Quirigua
Quiroga,Quiroga,Quiroga
RIO NEGRO,Rionegro,Rionegro
Recinto Ferial,Corferias,Corferias
Restrepo,Restrepo,Restrepo
Ricaurte,Ricaurte - NQS,Ricaurte
Río Fucha,Fucha,Fucha
SAN MARTIN,San Martín,Héroes
SAN MATEO - C.C. UNISUR,San Mateo - CC Unisur,San Mateo
SAN VICTORINO - NEOS CENTRO,San Victorino,San Victorino
SANTA ISABEL,Santa Isabel,Santa Isabel
SEVILLANA,Sevillana,Sevillana
SUBA - AV. BOYACA,Suba - AV. Boyacá,Suba - AV. Boyacá
SUBA - CALLE 100,Suba - Calle 100,Suba - Calle 100
SUBA - CALLE 95,Suba - Calle 95,Suba - Calle 95
SUBA - TV- 91,Suba - TV. 91,Suba - TV 91
Salitre El Greco,Salitre - El Greco,Salitre - El Greco
San Bernardo,San Bernardo,San Bernardo
San Diego,San Diego,San Diego
Santa Lucía,Santa Lucía,Santa Lucía
Socorro,Socorro,Socorro
TERREROS,Terreros - Hospital Cardio Vascular,Terreros - Hospital C.V.
Tercer Milenio,Tercer Milenio,Tercer Milenio
Terminal,Terminal,Terminal
Tintal,Biblioteca Tintal,Biblioteca Tintal
Toberin - Foundever,Toberin - Foundever,Toberín - Foundever
Transversal 86,Transversal 86,TV 86
Tygua-San José,Tygua - San José,Tygua-San José
U. NACIONAL,Universidad Nacional,Universidades - CityU
Universidades,Universidades – CityU,Universidades - CityU
VENECIA,Venecia,Venecia
Virrey,Virrey,Virrey
Zona Industrial,Zona Industrial,Zona Industrial
