Ruta,Descripcion,Orden_Parada,Estacion,Latitud,Longitud
5,Portal Américas,4,San Façon - Cra. 22 A - 4,4.609543555302575,-74.08653921267504
5,Av. Jiménez,5,Mandalay A - 2 ó 5,4.630660713070713,-74.1408720863745
5,Portal Américas,5,Ricaurte F - 3,4.612397031188412,-74.08974477100422
5,Av. Jiménez,6,Av. Américas - Av. Boyacá B - 2 ó 5-nv,4.630046682618623,-74.13433698208054
5,Portal Américas,6,CDS - Cra. 32 A - 3,4.616020466507358,-74.09380577200541
5,Av. Jiménez,7,Marsella C - 1,4.629635337863965,-74.13083968468698
5,Portal Américas,7,Zona Industrial A - 3,4.620232756085611,-74.09857823528641
5,Av. Jiménez,8,Pradera B - 2,4.628462538437483,-74.11875212368454
5,Portal Américas,8,Cra. 43 B - 4,4.62304989892438,-74.10169378985846
5,Av. Jiménez,9,Distrito Grafiti A - 2 ó 5,4.627774622013719,-74.111162449002
5,Portal Américas,9,Puente Aranda A - 3,4.625676881013787,-74.10465635632896
5,Av. Jiménez,10,Puente Aranda A - 2,4.625539604179983,-74.10454789357584
5,Portal Américas,10,Distrito Grafiti B - 4 ó 6,4.628020110111151,-74.11216279344761
5,Av. Jiménez,11,Cra. 43 B - 1,4.622877895259996,-74.10158582910915
5,Portal Américas,11,Pradera B - 4,4.628640816207268,-74.1189682867558
5,Av. Jiménez,12,Zona Industrial A - 2,4.6200788548225376,-74.09847926754658
5,Portal Américas,12,Marsella C - 4,4.629879781505953,-74.13101067024886
5,Av. Jiménez,13,CDS - Cra. 32 A - 2,4.615812040649144,-74.09368506340606
5,Portal Américas,13,Av. Américas - Av. Boyacá B - 4 ó 6,4.630209924083671,-74.13467935188314
5,Av. Jiménez,14,Ricaurte F - 1,4.612250171557645,-74.08966788734966
5,Portal Américas,14,Mandalay A - 4 ó 6,4.63095593458074,-74.14117103001577
5,Av. Jiménez,15,San Façon - Cra. 22 A - 2,4.609280943998165,-74.08631418370278
5,Portal Américas,15,Banderas T7,4.631481942822097,-74.146748869889
5,Av. Jiménez,16,De la Sabana B - 1,4.605503438161995,-74.08204612429427
5,Portal Américas,16,Tv. 86 B - 4 ó 6,4.6346003835319305,-74.15232544363883
5,Av. Jiménez,17,Av. Jiménez C - 2 ó 5-T,4.600603436584692,-74.0820635451737
5,Portal Américas,17,Biblioteca Tintal A - 4 ó 6.,4.637837350947044,-74.15946560161017
5,Portal Américas,18,Portal Américas T5,4.629491056464193,-74.17297795053351
6,Universidades,1,Portal 80 T-4,4.70950987643846,-74.11085412663051
6,Portal 80,1,Universidades B - 4 ó 6,4.605176272940003,-74.06697431528326
6,Universidades,2,Quirigua A - 2 ó 5,4.706676183532532,-74.10872168092783
6,Portal 80,2,Calle 34 B - 4 ó 6-T,4.619899770406062,-74.07043057497123
6,Universidades,3,Cra. 90 B - 2 ó 5,4.704880925595844,-74.10515105703729
6,Portal 80,3,Av. 39 A - 4 ó 6-T,4.626055537764591,-74.06881059009032
6,Universidades,4,Av. Cali A - 2 ó 5,4.7017612002010924,-74.0994270470382
6,Portal 80,4,Calle 45 C - 3,4.632160449005009,-74.06772017054323
6,Universidades,5,Granja - Cra. 77 A - 2,4.698300264205313,-74.09465611838928
6,Portal 80,5,Marly B - 4 ó 6-T,4.636862645829685,-74.06687879248386
6,Universidades,6,Minuto de Dios A - 2 ó 5,4.696595463842016,-74.09149982216817
6,Portal 80,6,Calle 57 B - 4 ó 6-T,4.645453899097968,-74.06537102177062
6,Universidades,7,Boyacá A - 2 ó 5,4.693247892602133,-74.08648118212086
6,Portal 80,7,Flores B - 4 ó 6,4.655201595426291,-74.06283394509447
6,Universidades,8,Ferias A - 2 ó 5,4.69082451678491,-74.08457727914129
6,Portal 80,8,Calle 76 C - 3,4.663711143286005,-74.06112781753468
6,Universidades,9,Av. 68 A - 2 ó 5,4.685672253413232,-74.08050896435542
6,Portal 80,9,Polo A - 4 ó 6,4.66984639738358,-74.06405450806308
6,Universidades,10,Cra. 53 A - 2 ó 5,4.68160916108052,-74.0772922707953
6,Portal 80,10,Escuela Militar A - 4 ó 6,4.675481741563778,-74.06970380439779
6,Universidades,11,Cra. 47 A - 2 ó 5,4.677329366025294,-74.07268173251451
6,Portal 80,11,Cra. 47 A - 4 ó 6,4.677630994393667,-74.07307299951924
6,Universidades,12,Escuela Militar B - 2 ó 5,4.675626900673885,-74.07002816633627
6,Portal 80,12,Cra. 53 A - 4 ó 6,4.681914320618397,-74.07744861087983
6,Universidades,13,Polo A - 2 ó 5,4.669452943739475,-74.06378265999004
6,Portal 80,13,Av. 68 A - 4 ó 6,4.685964911676091,-74.08062135927099
6,Universidades,14,Calle 76 C - 2,4.6635611849281,-74.06118628565883
6,Portal 80,14,Ferias A - 4 ó 6,4.6911323016623205,-74.0847571904572
6,Universidades,15,Flores A - 2 ó 5,4.65446953436262,-74.0633036981087
6,Portal 80,15,Boyacá A - 4 ó 6,4.693173522761299,-74.08639347551139
6,Universidades,16,Calle 57 B - 2 ó 5-T,4.645273096527527,-74.065452394619
6,Portal 80,16,Minuto de Dios A - 4 ó 6,4.6967949016011366,-74.09173697236892
6,Universidades,17,Marly B - 1 ó 5-T,4.63641958243908,-74.06700558198354
6,Portal 80,17,Granja - Cra. 77 A - 3,4.698427054350067,-74.0947731592756
6,Universidades,18,Calle 45 C - 2,4.632024509382341,-74.06780464864546
6,Portal 80,18,Av. Cali A - 4 ó 6,4.702092068999503,-74.099769240038
6,Universidades,19,Av. 39 A -2 ó 5-T,4.6258667213325655,-74.0688931773758
6,Portal 80,19,Cra. 90 B - 4 ó 6,4.705125689562454,-74.10556547312196
6,Universidades,20,Calle 34 B - 1 ó 5-T,4.619751187745883,-74.07056808886925
6,Portal 80,20,Quirigua A - 4 ó 6,4.706908031162491,-74.10891992377626
6,Universidades,21,Universidades A - 2 ó 5,4.6043538753396485,-74.06754329794401
6,Portal 80,21,Portal 80 T-4,4.70950987643846,-74.11085412663051
7,Polo FINCOMERCIO,1,Portal Suba T2,4.746350260577728,-74.09457577580898
7,Portal suba,1,Polo C - 4 ó 6,4.670889307652272,-74.06493718108635
7,Polo FINCOMERCIO,2,La Campiña A - 2,4.742392651591851,-74.09100146483885
7,Portal suba,2,Escuela Militar A - 4 ó 6,4.675481741563778,-74.06970380439779
7,Polo FINCOMERCIO,3,Suba - Tv. 91 A - 2,4.738660348375128,-74.08680477852582
7,Portal suba,3,San Martín B - 4 ó 6,4.676717306313504,-74.06694346696608
7,Polo FINCOMERCIO,4,21 Ángeles A - 2,4.73526022285404,-74.0807323371285
7,Portal suba,4,Rionegro B - 4,4.680657979372594,-74.06456719208747
7,Polo FINCOMERCIO,5,Gratamira B - 1,4.727681162829363,-74.0747646861104
7,Portal suba,5,Suba - Calle 95 A - 3,4.684572759145038,-74.06312853112662
7,Polo FINCOMERCIO,6,Suba - Av. Boyacá A - 2,4.72094997958441,-74.07481612696222
7,Portal suba,6,Suba - Calle 100 A - 4 ó 6,4.686800391167419,-74.06431322215224
7,Polo FINCOMERCIO,7,Niza - Calle 127 A - 2,4.711640131010069,-74.07227952688092
7,Portal suba,7,Puentelargo A - 3,4.693279906191651,-74.0671378819712
7,Polo FINCOMERCIO,8,Humedal Córdoba A - 2,4.706347005852211,-74.07115956880699
7,Portal suba,8,Av. Suba - Calle 116 B - 4,4.699525058919681,-74.06994247449087
7,Polo FINCOMERCIO,9,Av. Suba - Calle 116 B - 1,4.699371297380463,-74.06995169400237
7,Portal suba,9,Humedal Córdoba A - 3,4.706527903927652,-74.07115031318286
7,Polo FINCOMERCIO,10,Puentelargo B 2 ó 5,4.693659983663278,-74.06746500407117
7,Portal suba,10,Niza - Calle 127 A - 3,4.711811971577564,-74.07226126736916
7,Polo FINCOMERCIO,11,Suba - Calle 100 A - 2 ó 5,4.686549923171999,-74.06424051171092
7,Portal suba,11,Suba - Av. Boyacá A - 3,4.721051720134325,-74.07476049880452
7,Polo FINCOMERCIO,12,Suba - Calle 95 A - 2,4.6843737583577285,-74.06312879601398
7,Portal suba,12,Gratamira B - 4,4.7278619766835215,-74.07469231775522
7,Polo FINCOMERCIO,13,Rionegro A - 2 ó 5,4.680124861416081,-74.06499162464019
7,Portal suba,13,21 Ángeles A - 3,4.73542317405416,-74.08083129985589
7,Polo FINCOMERCIO,14,San Martín B - 1 ó 5,4.6765999069469215,-74.0670878683918
7,Portal suba,14,Suba - Tv. 91 A - 3,4.738841330582132,-74.08685863835773
7,Polo FINCOMERCIO,15,Escuela Militar A - 2 ó 5,4.6752733715497365,-74.06946066433778
7,Portal suba,15,La Campiña A - 3,4.742546497078728,-74.09105536140954
7,Polo FINCOMERCIO,16,Polo A - 2 ó 5,4.669452943739475,-74.06378265999004
7,Portal suba,16,Portal Suba T2,4.746350260577728,-74.09457577580898
8,Guatoque,1,Terminal A - 1,4.768831956254398,-74.0437289837137
8,Guatoque,2,Calle 187 A - 1,4.763252186383277,-74.04463834113709
8,Guatoque,3,Portal Norte T5B,4.754144111384893,-74.0463065682634
8,Guatoque,4,Toberín D - 2,4.74756713287892,-74.04708936987588
8,Guatoque,5,Calle 161 A - 2,4.742758216760854,-74.04788523192398
8,Guatoque,6,Mazurén B - 2,4.735868628438988,-74.0490217838364
8,Guatoque,7,Calle 146 C - 1,4.731346935632003,-74.04977628872975
8,Guatoque,8,Calle 142 A - 2,4.727449226974589,-74.0504217367804
8,Guatoque,9,Alcalá A - 2 ó 5,4.720277839765603,-74.05163962413236
8,Guatoque,10,Prado B - 1,4.714453884948113,-74.05261222015808
8,Guatoque,11,Calle 127 A - 2 ó 5,4.704126314551956,-74.05434819337762
8,Guatoque,12,Pepe Sierra A - 2 ó 5,4.697587911143484,-74.05543888294193
8,Terminal,12,Héroes C - 4,4.668874789987588,-74.06012927745296
8,Guatoque,13,Calle 106 A - 2 ó 5,4.693690168654378,-74.05607521608145
8,Terminal,13,Calle 85 B - 4 ó 6,4.671778357001602,-74.05972406027028
8,Guatoque,14,Calle 100 B - 2 ó 5,4.68368815148622,-74.05777452982296
8,Terminal,14,Virrey C - 4 ó 6,4.676643203399243,-74.05888382562587
8,Guatoque,15,Virrey B - 2 ó 5,4.675802227970942,-74.05907427042041
8,Terminal,15,Calle 100 C - 3,4.684520092305998,-74.05759310707666
8,Guatoque,16,Calle 85 B - 1,4.6715879764960695,-74.05978308420151
8,Terminal,16,Calle 106 B - 4 ó 6,4.692243186058402,-74.05629353340403
8,Guatoque,17,Héroes B - 2,4.668061094658749,-74.06042786360786
8,Terminal,17,Pepe Sierra B - 4 ó 6,4.6984198130921895,-74.05523040382724
8,Guatoque,18,Calle 76 C - 2,4.6635611849281,-74.06118628565883
8,Terminal,18,Calle 127 B - 4 ó 6,4.7049417212248335,-74.0541564915934
8,Guatoque,19,Flores A - 2 ó 5,4.65446953436262,-74.0633036981087
8,Terminal,19,Prado B - 4,4.714607547029557,-74.05253086952473
8,Guatoque,20,Calle 57 B - 2 ó 5-T,4.645273096527527,-74.065452394619
8,Terminal,20,Alcalá B - 4 ó 6,4.7212634857654505,-74.05141288790148
8,Guatoque,21,Marly A - 2 ó 5-T,4.635840812481861,-74.06711451954727
8,Terminal,21,Calle 142 B - 4,4.726273566023294,-74.05060365683178
8,Guatoque,22,Calle 45 C - 2,4.632024509382341,-74.06780464864546
8,Terminal,22,Calle 146 B - 3 ó 6,4.73099416334426,-74.04977676976344
8,Guatoque,23,Av. 39 A -2 ó 5-T,4.6258667213325655,-74.0688931773758
8,Terminal,23,Mazurén A - 3 ó 6,4.734050866638669,-74.04929474862558
8,Guatoque,24,Calle 26 B - 1 ó 5.,4.61692884259693,-74.07206010556196
8,Terminal,24,Calle 161 B - 4,4.741108206899739,-74.04813955129838
8,Guatoque,25,Calle 22 A - 2 ó 5-T,4.609197819573274,-74.07600779230908
8,Terminal,25,Toberín B - 4 ó 6,4.745590150127629,-74.04732245722568
8,Guatoque,26,Av. Jiménez C - 2 ó 5-T,4.600603436584692,-74.0820635451737
8,Terminal,26,Portal Norte T2B,4.755131304122354,-74.04576441056781
8,Guatoque,27,Tygua - San José B - 4 ó 6,4.600076007662381,-74.08902125187542
8,Terminal,27,Calle 187 A - 3,4.763170301544689,-74.04429582951082
